tax_id	abundance	estimated_counts	species	genus	family	phylum
SYN0005	0.22500000	27	Corynebacterium accolens	Corynebacterium	Corynebacteriaceae	Actinomycetota
SYN0006	0.20833333	25	Dolosigranulum pigrum	Dolosigranulum	Carnobacteriaceae	Bacillota
SYN0002	0.05000000	6	Haemophilus influenzae	Haemophilus	Pasteurellaceae	Pseudomonadota
SYN0010	0.07500000	9	Lactobacillus crispatus	Lactobacillus	Lactobacillaceae	Bacillota
SYN0003	0.04166667	5	Moraxella catarrhalis	Moraxella	Moraxellaceae	Pseudomonadota
SYN0008	0.14166667	17	Neisseria subflava	Neisseria	Neisseriaceae	Pseudomonadota
SYN0007	0.09166667	11	Prevotella melaninogenica	Prevotella	Prevotellaceae	Bacteroidota
SYN0004	0.03333333	4	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillota
SYN0001	0.04166667	5	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Bacillota
SYN0009	0.09166667	11	Veillonella parvula	Veillonella	Veillonellaceae	Bacillota
