tax_id	abundance	estimated_counts	species	genus	family	phylum
SYN0005	0.08333333	10	Corynebacterium accolens	Corynebacterium	Corynebacteriaceae	Actinomycetota
SYN0006	0.12500000	15	Dolosigranulum pigrum	Dolosigranulum	Carnobacteriaceae	Bacillota
SYN0002	0.16666667	20	Haemophilus influenzae	Haemophilus	Pasteurellaceae	Pseudomonadota
SYN0010	0.02500000	3	Lactobacillus crispatus	Lactobacillus	Lactobacillaceae	Bacillota
SYN0003	0.20833333	25	Moraxella catarrhalis	Moraxella	Moraxellaceae	Pseudomonadota
SYN0008	0.06666667	8	Neisseria subflava	Neisseria	Neisseriaceae	Pseudomonadota
SYN0007	0.06666667	8	Prevotella melaninogenica	Prevotella	Prevotellaceae	Bacteroidota
SYN0004	0.05000000	6	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillota
SYN0001	0.15833333	19	Streptococcus pneumoniae	Streptococcus	Streptococcaceae	Bacillota
SYN0009	0.05000000	6	Veillonella parvula	Veillonella	Veillonellaceae	Bacillota
