name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Corynebacterium accolens	SYN0005	S	25	2	27	0.22500000
Dolosigranulum pigrum	SYN0006	S	23	2	25	0.20833333
Haemophilus influenzae	SYN0002	S	4	2	6	0.05000000
Lactobacillus crispatus	SYN0010	S	7	2	9	0.07500000
Moraxella catarrhalis	SYN0003	S	3	2	5	0.04166667
Neisseria subflava	SYN0008	S	15	2	17	0.14166667
Prevotella melaninogenica	SYN0007	S	9	2	11	0.09166667
Staphylococcus aureus	SYN0004	S	2	2	4	0.03333333
Streptococcus pneumoniae	SYN0001	S	3	2	5	0.04166667
Veillonella parvula	SYN0009	S	9	2	11	0.09166667
